site,time,value
TRGW-0-3-8,3826.5,38.31421538414228
TRGW-0-3-8,3827.5,38.32793837903099
TRGW-0-3-8,3828.5,38.28259700669423
TRGW-0-3-8,3829.5,38.45998892681713
TRGW-0-3-8,3830.5,38.39574535225189
TRGW-0-3-8,3831.5,38.517920686495295
TRGW-0-3-8,3832.5,38.63920361672683
TRGW-0-3-8,3833.5,38.48460916871222
TRGW-0-3-8,3834.5,38.36067661288427
TRGW-0-3-8,3835.5,38.39471914916319
TRGW-0-3-8,3836.5,38.35490398215103
TRGW-0-3-8,3837.5,38.59036396483073
TRGW-0-3-8,3838.5,38.44000893466658
TRGW-0-3-8,3839.5,38.26716991908368
TRGW-0-3-8,3840.5,38.46409278611052
TRGW-0-3-8,3841.5,38.44763959743162
TRGW-0-3-8,3842.5,38.48003645722069
TRGW-0-3-8,3843.5,38.451188578176584
TRGW-0-3-8,3844.5,38.57215139603785
TRGW-0-3-8,3845.5,38.46956505560104
TRGW-0-3-8,3846.5,38.4971772601783
TRGW-0-3-8,3847.5,38.464135802898916
TRGW-0-3-8,3848.5,38.39895918391041
TRGW-0-3-8,3849.5,38.39257758298216
TRGW-0-3-8,3850.5,38.29420601772723
TRGW-0-3-8,3851.5,38.49413417057686
TRGW-0-3-8,3852.5,38.3741916850816
TRGW-0-3-8,3853.5,38.46501338198136
TRGW-0-3-8,3854.5,38.40718945976069
TRGW-0-3-8,3855.5,38.61203159966384
TRGW-0-3-8,3856.5,38.4881628194474
TRGW-0-3-8,3857.5,38.57442214812205
TRGW-0-3-8,3858.5,38.39509250893131
TRGW-0-3-8,3859.5,38.47889739082296
TRGW-0-3-8,3860.5,38.36479251186678
TRGW-0-3-8,3861.5,38.281155122258596
TRGW-0-3-8,3862.5,38.31194514789976
TRGW-0-3-8,3863.5,38.34485699276515
TRGW-0-3-8,3864.5,38.37135021005904
TRGW-0-3-8,3865.5,38.40423015165593
TRGW-0-3-8,3866.5,38.38352872789987
TRGW-0-3-8,3867.5,38.28741896365293
TRGW-0-3-8,3868.5,38.343140363694395
TRGW-0-3-8,3869.5,38.47312877434197
TRGW-0-3-8,3870.5,38.36578976056601
TRGW-0-3-8,3871.5,38.40639603038564
TRGW-0-3-8,3872.5,38.33625040203117
TRGW-0-3-8,3873.5,38.48827343210815
TRGW-0-3-8,3874.5,38.35603533631348
TRGW-0-3-8,3875.5,38.46260377667976
TRGW-0-3-8,3876.5,38.40031791128422
TRGW-0-3-8,3877.5,38.34433499785831
TRGW-0-3-8,3878.5,38.45102847370189
TRGW-0-3-8,3879.5,38.23800625115807
TRGW-0-3-8,3880.5,38.28647086475158
TRGW-0-3-8,3881.5,38.379059367451205
TRGW-0-3-8,3882.5,38.475977519002306
TRGW-0-3-8,3883.5,38.362703347085954
TRGW-0-3-8,3884.5,38.3716465180232
TRGW-0-3-8,3885.5,38.25201821535119
TRGW-0-3-8,3886.5,38.35446592442671
TRGW-0-3-8,3887.5,38.44442375175828
TRGW-0-3-8,3888.5,38.475026653669424
TRGW-0-3-8,3889.5,38.4672065963613
TRGW-0-3-8,3890.5,38.33177616502653
TRGW-0-3-8,3891.5,38.43721624781986
TRGW-0-3-8,3892.5,38.14981127165343
TRGW-0-3-8,3893.5,38.178814244489736
TRGW-0-3-8,3894.5,38.360818975733565
TRGW-0-3-8,3895.5,38.46437117860341
TRGW-0-3-8,3896.5,38.440548983436926
TRGW-0-3-8,3897.5,38.31642448965942
TRGW-0-3-8,3898.5,38.3554893937929
TRGW-0-3-8,3899.5,38.3492311451809
TRGW-0-3-8,3900.5,38.34943300024854
TRGW-0-3-8,3901.5,38.24903923713972
TRGW-0-3-8,3902.5,38.33769546605922
TRGW-0-3-8,3903.5,38.19935181542913
TRGW-0-3-8,3904.5,38.16038529957605
TRGW-0-3-8,3905.5,38.32147553861051
TRGW-0-3-8,3906.5,38.28201284498777
TRGW-0-3-8,3907.5,38.36461202141086
TRGW-0-3-8,3908.5,38.04407688341704
TRGW-0-3-8,3909.5,38.21737006478963
TRGW-0-3-8,3910.5,38.19615712150223
TRGW-0-3-8,3911.5,38.147459675212595
TRGW-0-3-8,3912.5,38.11336137733842
TRGW-0-3-8,3913.5,38.2449855018333
TRGW-0-3-8,3914.5,38.18113809002597
TRGW-0-3-8,3915.5,38.32836473785322
TRGW-0-3-8,3916.5,38.0860534463885
TRGW-0-3-8,3917.5,38.086695583992906
TRGW-0-3-8,3918.5,38.260241596908635
TRGW-0-3-8,3919.5,38.31978883124999
TRGW-0-3-8,3920.5,38.32786508322497
TRGW-0-3-8,3921.5,38.30635686720258
TRGW-0-3-8,3922.5,38.27323956332318
TRGW-0-3-8,3923.5,38.418459508642535
TRGW-0-3-8,3924.5,38.14604824961812
TRGW-0-3-8,3925.5,38.11319912365403
TRGW-0-3-8,3926.5,38.405862164635835
TRGW-0-3-8,3927.5,38.16851579685722
TRGW-0-3-8,3928.5,38.132652637793
TRGW-0-3-8,3929.5,38.03755034420629
TRGW-0-3-8,3930.5,38.16664420875034
TRGW-0-3-8,3931.5,37.912669534210636
TRGW-0-3-8,3932.5,38.06794543434927
TRGW-0-3-8,3933.5,38.114009761117934
TRGW-0-3-8,3934.5,38.07393288057804
TRGW-0-3-8,3935.5,38.02012451863002
TRGW-0-3-8,3936.5,38.113299808462244
TRGW-0-3-8,3937.5,38.22210189760786
TRGW-0-3-8,3938.5,38.03038090895968
TRGW-0-3-8,3939.5,38.08936815364236
TRGW-0-3-8,3940.5,38.06854034917208
TRGW-0-3-8,3941.5,38.07889261481828
TRGW-0-3-8,3942.5,38.19788056015541
TRGW-0-3-8,3943.5,38.186393266278216
TRGW-0-3-8,3944.5,37.9949817710249
TRGW-0-3-8,3945.5,37.923371370340384
TRGW-0-3-8,3946.5,38.078320156711364
TRGW-0-3-8,3947.5,38.072901929962654
TRGW-0-3-8,3948.5,38.01176964210986
TRGW-0-3-8,3949.5,37.848664907830916
TRGW-0-3-8,3950.5,37.83018223193318
TRGW-0-3-8,3951.5,37.966422648353294
TRGW-0-3-8,3952.5,37.881010480777796
TRGW-0-3-8,3953.5,37.911878030255075
TRGW-0-3-8,3954.5,37.873610829361475
TRGW-0-3-8,3955.5,37.93373097992912
TRGW-0-3-8,3956.5,38.14419215533844
TRGW-0-3-8,3957.5,37.94834667833217
TRGW-0-3-8,3958.5,37.831066351417064
TRGW-0-3-8,3959.5,37.98143854064188
TRGW-0-3-8,3960.5,37.79934390272903
TRGW-0-3-8,3961.5,37.937484742542196
TRGW-0-3-8,3962.5,38.00381512988825
TRGW-0-3-8,3963.5,37.90181540525217
TRGW-0-3-8,3964.5,37.96488964229952
TRGW-0-3-8,3965.5,37.934161908541384
TRGW-0-3-8,3966.5,37.88541851279265
TRGW-0-3-8,3967.5,38.030083147138335
TRGW-0-3-8,3968.5,37.78252879376297
TRGW-0-3-8,3969.5,37.87498370706177
TRGW-0-3-8,3970.5,37.899718607509676
TRGW-0-3-8,3971.5,37.83795109940695
TRGW-0-3-8,3972.5,38.04858943122515
TRGW-0-3-8,3973.5,37.79456222393831
TRGW-0-3-8,3974.5,37.8597161721245
TRGW-0-3-8,3975.5,37.908073562538185
TRGW-0-3-8,3976.5,37.65007509680022
TRGW-0-3-8,3977.5,37.782270681569166
TRGW-0-3-8,3978.5,37.86696734668726
TRGW-0-3-8,3979.5,37.847308600552246
TRGW-0-3-8,3980.5,37.75505992094561
TRGW-0-3-8,3981.5,37.71449285743374
TRGW-0-3-8,3982.5,37.76206381700827
TRGW-0-3-8,3983.5,37.81948647452151
TRGW-0-3-8,3984.5,37.86660588290419
TRGW-0-3-8,3985.5,37.81751777933417
TRGW-0-3-8,3986.5,37.605116453774855
TRGW-0-3-8,3987.5,37.671217713078725
TRGW-0-3-8,3988.5,37.63873431020141
TRGW-0-3-8,3989.5,37.6618007035519
TRGW-0-3-8,3990.5,37.69942916655632
TRGW-0-3-8,3991.5,37.79750045000018
TRGW-0-3-8,3992.5,37.86616180528393
TRGW-0-3-8,3993.5,37.79175814591555
TRGW-0-3-8,3994.5,37.62342985083696
TRGW-0-3-8,3995.5,37.94120372646294
TRGW-0-3-8,3996.5,37.7566579701037
TRGW-0-3-8,3997.5,37.56465569928029
TRGW-0-3-8,3998.5,37.7023021720665
TRGW-0-3-8,3999.5,37.53585616049052
TRGW-0-3-8,4000.5,37.64631709517944
TRGW-0-3-8,4001.5,37.593555037036865
TRGW-0-3-8,4002.5,37.76346122996323
TRGW-0-3-8,4003.5,37.56815494175987
TRGW-0-3-8,4004.5,37.580923532270596
TRGW-0-3-8,4005.5,37.745422249441745
TRGW-0-3-8,4006.5,37.644979753115564
TRGW-0-3-8,4007.5,37.50026429845352
TRGW-0-3-8,4008.5,37.73455792601575
TRGW-0-3-8,4009.5,37.78417761717533
TRGW-0-3-8,4010.5,37.67040262194443
TRGW-0-3-8,4011.5,37.561246719111686
TRGW-0-3-8,4012.5,37.723145257212636
TRGW-0-3-8,4013.5,37.58291310115111
TRGW-0-3-8,4014.5,37.63785647892421
TRGW-0-3-8,4015.5,37.58386612988863
TRGW-0-3-8,4016.5,37.49999505303247
TRGW-0-3-8,4017.5,37.69867779391076
TRGW-0-3-8,4018.5,37.51418158795315
TRGW-0-3-8,4019.5,37.561975977338435
TRGW-0-3-8,4020.5,37.652654719060926
TRGW-0-3-8,4021.5,37.59137549953011
TRGW-0-3-8,4022.5,37.471183474918305
TRGW-0-3-8,4023.5,37.44955884585883
TRGW-0-3-8,4024.5,37.64756257997594
TRGW-0-3-8,4025.5,37.59277133549443
TRGW-0-3-8,4026.5,37.520538882908426
TRGW-0-3-8,4027.5,37.694243595462844
TRGW-0-3-8,4028.5,37.584683158004374
TRGW-0-3-8,4029.5,37.58298355067523
TRGW-0-3-8,4030.5,37.72986600858356
TRGW-0-3-8,4031.5,37.611094216856735
TRGW-0-3-8,4032.5,37.80329584919335
TRGW-0-3-8,4033.5,37.42350227747728
TRGW-0-3-8,4034.5,37.72893784730895
