parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,pname,inst,ptype,pstyle,i,j,x,y,zone,usecol,idx0,idx1,idx2
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:2_j:4_x:1125.00_y:9375.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,2,4,1125.00,9375.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:2_j:5_x:1375.00_y:9375.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,2,5,1375.00,9375.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:2_j:6_x:1625.00_y:9375.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,2,6,1625.00,9375.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:2_j:7_x:1875.00_y:9375.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,2,7,1875.00,9375.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:2_j:8_x:2125.00_y:9375.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,2,8,2125.00,9375.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:2_j:9_x:2375.00_y:9375.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,2,9,2375.00,9375.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:2_j:10_x:2625.00_y:9375.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,2,10,2625.00,9375.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:2_j:11_x:2875.00_y:9375.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,2,11,2875.00,9375.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:2_j:12_x:3125.00_y:9375.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,2,12,3125.00,9375.00,1,,,,
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:2_j:13_x:3375.00_y:9375.00_zone:1,fixed,factor,1.0,0.2,5.0,npfklayer1gr,1.0,0.0,1,npfklayer1gr,0,gr,m,2,13,3375.00,9375.00,1,,,,
