iteration,_is_super,_lambda,_scale_factor,ne1,strinf,wel5,wel2,wel3,wel1,wel4,wel0,hk_i:27_j:12_zone:1.0,hk_i:17_j:2_zone:1.0,hk_i:27_j:2_zone:1.0,hk_i:7_j:17_zone:1.0,hk_i:27_j:17_zone:1.0,hk_i:37_j:7_zone:1.0,hk_i:7_j:7_zone:1.0,hk_i:32_j:12_zone:1.0,hk_i:2_j:2_zone:1.0,hk_i:22_j:7_zone:1.0,hk_i:37_j:12_zone:1.0,hk_i:2_j:7_zone:1.0,hk_i:12_j:2_zone:1.0,hk_i:22_j:12_zone:1.0,hk_i:17_j:17_zone:1.0,hk_i:12_j:12_zone:1.0,hk_i:22_j:2_zone:1.0,hk_i:27_j:7_zone:1.0,hk_i:17_j:12_zone:1.0,hk_i:2_j:12_zone:1.0,hk_i:32_j:2_zone:1.0,hk_i:32_j:17_zone:1.0,hk_i:2_j:17_zone:1.0,hk_i:7_j:2_zone:1.0,hk_i:7_j:12_zone:1.0,hk_i:22_j:17_zone:1.0,hk_i:12_j:17_zone:1.0,hk_i:37_j:17_zone:1.0,hk_i:32_j:7_zone:1.0,rch_i:17_j:2_zone:1.0,rch_i:27_j:17_zone:1.0,rch_i:27_j:12_zone:1.0,rch_i:7_j:12_zone:1.0,rch_i:27_j:2_zone:1.0,rch_i:37_j:17_zone:1.0,rch_i:22_j:7_zone:1.0,rch_i:12_j:17_zone:1.0,rch_i:32_j:7_zone:1.0,rch_i:7_j:2_zone:1.0,rch_i:32_j:12_zone:1.0,rch_i:17_j:17_zone:1.0,rch_i:7_j:7_zone:1.0,rch_i:37_j:7_zone:1.0,rch_i:17_j:12_zone:1.0,rch_i:22_j:2_zone:1.0,rch_i:2_j:2_zone:1.0,rch_i:2_j:7_zone:1.0,rch_i:22_j:17_zone:1.0,rch_i:32_j:17_zone:1.0,rch_i:2_j:17_zone:1.0,rch_i:22_j:12_zone:1.0,rch_i:7_j:17_zone:1.0,rch_i:12_j:12_zone:1.0,rch_i:32_j:2_zone:1.0,rch_i:12_j:2_zone:1.0,rch_i:37_j:12_zone:1.0,rch_i:27_j:7_zone:1.0,rch_i:2_j:12_zone:1.0
2,1,0.1,1,0.01,809.785,-351.156,-27.6661,-635.754,-900,-144.75,-210.605,40.1109,13.3678,7.31998,1.0943,0.948847,0.683217,6.61301,5.91098,4.61552,10.5484,1.13809,8.79483,5.00796,10.2769,0.851545,3.52768,49.5715,9.03192,3.62654,5.97893,2.48756,0.957228,1.10385,2.827,5.54546,0.906705,0.93848,1.40962,3.64963,2,0.5,0.5,0.5,0.628836,0.5,2,0.5,1.78826,2,0.5,0.5,2,1.07658,1.09417,0.79153,2,0.5,0.5,0.5,0.5,0.5,0.5,1.41302,1.01175,2,0.5,2,0.5
2,0,0.1,0.75,0.01,897.808,319.837,51.8699,476.128,714.393,147.702,169.939,22.1782,11.1952,7.73991,1.66314,1.42613,1.17338,6.5971,5.58232,4.10768,9.41738,1.65167,7.4345,4.99647,6.87342,1.25287,3.69325,30.3312,7.41276,3.10487,4.59169,3.1634,1.60915,1.6021,2.77723,4.9186,1.31967,1.54107,2.14424,3.74467,1.47141,0.5,0.47313,0.551726,0.852514,0.432432,1.68159,0.5,1.4852,1.76544,0.50916,0.5,1.81258,1.04189,1.1358,0.855232,1.69331,0.728555,0.5,0.5,0.5,0.587537,0.5,1.23387,1.0764,1.88265,0.60827,1.64719,0.333068
2,1,1,1,0.01,1152.82,-251.827,-157.71,-218.285,-265.989,-173.022,-223.351,5.02463,6.07512,5.48554,2.87146,2.7444,3.14864,5.43164,3.7134,4.88974,5.39824,3.35163,5.56593,5.00271,3.87211,2.69423,3.41857,8.00032,5.15984,3.32325,3.93167,4.24554,2.82625,2.88559,4.48226,3.85535,2.70453,2.77979,3.54029,4.38185,1.44656,0.5,0.5,0.5,1.25733,0.5,1.15598,0.5,1.07728,1.61727,0.5,0.5,1.12351,0.891855,0.5,1.2691,1.53748,0.831251,0.5,0.5,0.5,0.5,0.5,0.5,1.19184,1.59142,0.5,1.23871,0.5
2,0,1,0.75,0.01,1157.25,245.784,170.902,213.116,252.077,172.598,221.793,4.78956,5.92424,5.52802,3.18555,3.07144,3.3565,5.32689,3.83182,4.86159,5.26329,3.58258,5.42499,4.99262,3.79657,3.00154,3.55921,7.4955,4.82386,3.3913,3.64947,4.34161,3.21905,3.1405,4.48322,3.78478,3.01285,3.136,3.85575,4.30118,1.34445,0.5,0.498983,0.509486,1.31154,0.487354,1.10761,0.5,1.09635,1.49201,0.495146,0.5,1.07547,0.920345,0.546659,1.29498,1.49712,0.914104,0.5,0.5,0.5,0.512189,0.5,0.564126,1.21959,1.41109,0.590095,1.19976,0.482337
2,1,10,1,0.01,1128.33,-232.379,-206.934,-175.135,-202.968,-164.142,-225.82,3.71488,5.19826,5.07766,3.58101,3.53992,4.0428,4.87191,3.63742,5.0015,4.67171,4.12354,4.97594,4.97904,3.48402,3.52785,3.54712,5.62206,4.39229,3.49896,3.54725,4.55676,3.64351,3.55573,4.91875,3.56976,3.51176,3.57405,4.26601,4.39829,1.32353,0.5,0.5,0.5,1.29122,0.5,0.983025,0.5,1.00379,1.35675,0.5,0.5,0.951068,0.919752,0.5,1.31531,1.30329,0.914034,0.5,0.5,0.5,0.5,0.5,0.5,1.18945,1.33896,0.579521,1.04363,0.5
2,0,10,0.75,0.01,1121.43,233.849,209.233,178.524,205.067,167.27,226.812,3.76685,5.18304,5.07827,3.64908,3.61365,4.0666,4.85415,3.70304,5.00134,4.68365,4.15896,4.96515,4.97888,3.54488,3.60087,3.61368,5.58026,4.39103,3.56666,3.57928,4.56882,3.71728,3.62057,4.92339,3.61139,3.58533,3.64829,4.30658,4.40847,1.32266,0.5,0.519424,0.519211,1.30231,0.520778,1.00022,0.5,1.02236,1.34655,0.515335,0.5,0.965054,0.937553,0.518643,1.32268,1.2996,0.932861,0.5,0.5,0.5,0.523861,0.5,0.52286,1.20042,1.33038,0.609062,1.05445,0.524992
2,1,100,1,0.01,1039.05,-237.778,-215.632,-186.154,-209.787,-174.258,-230.09,3.8541,5.13862,5.06577,3.79431,3.78003,4.17622,4.79804,3.82447,4.99824,4.70535,4.26274,4.91368,4.97963,3.67702,3.76979,3.75336,5.46462,4.43458,3.72098,3.67997,4.62006,3.87068,3.77196,4.94561,3.69958,3.75585,3.80592,4.39915,4.47571,1.3054,0.5,0.57263,0.569689,1.30615,0.566763,1.01772,0.5,1.03887,1.31425,0.566223,0.5,0.985938,0.974431,0.566484,1.32081,1.27728,0.971925,0.5,0.5,0.5,0.575779,0.5,0.568509,1.20461,1.3011,0.651231,1.06377,0.580542
2,0,100,0.75,0.01,1053.6,238.149,215.761,186.969,210.238,174.829,230.128,3.86,5.13757,5.0659,3.80385,3.79094,4.17355,4.7965,3.83181,4.99816,4.70773,4.26499,4.91266,4.97988,3.686,3.78087,3.76343,5.46265,4.43532,3.73197,3.69096,4.61934,3.88046,3.78265,4.94686,3.70765,3.76708,3.81586,4.40347,4.47636,1.30976,0.5,0.578637,0.575004,1.3134,0.570739,1.02394,0.5,1.0441,1.31622,0.57157,0.5,0.990503,0.979238,0.57232,1.32708,1.2797,0.977401,0.5,0.5,0.5,0.581756,0.5,0.57401,1.20937,1.30397,0.655291,1.07015,0.586047
2,1,1000,1,0.01,1040.21,-239.993,-217.527,-189.725,-212.609,-176.828,-231.767,3.88312,5.13646,5.06783,3.83023,3.81919,4.18212,4.78972,3.85692,4.99533,4.71287,4.2767,4.90698,4.98011,3.71338,3.80995,3.79398,5.45678,4.4371,3.76336,3.71746,4.62353,3.90666,3.81051,4.94535,3.73126,3.79617,3.84392,4.41655,4.48247,1.30979,0.5,0.591772,0.58639,1.3206,0.580556,1.03296,0.5,1.05221,1.31116,0.583718,0.5,0.996557,0.987979,0.584667,1.3317,1.27645,0.985279,0.5,0.5,0.5,0.594691,0.5,0.585513,1.2148,1.30045,0.664802,1.07808,0.597882
2,0,1000,0.75,0.01,1054.49,239.811,217.182,189.652,212.356,176.759,231.385,3.88178,5.13595,5.06744,3.83083,3.82036,4.17797,4.79026,3.85617,4.99597,4.71337,4.27546,4.90763,4.98024,3.7133,3.81104,3.79393,5.45678,4.43721,3.7638,3.71913,4.62194,3.90748,3.81161,4.94666,3.73144,3.79736,3.8444,4.41653,4.48143,1.31307,0.5,0.593085,0.587601,1.32429,0.581125,1.03543,0.5,1.05414,1.3139,0.584764,0.5,0.998494,0.989431,0.586042,1.33528,1.27908,0.987455,0.5,0.5,0.5,0.596029,0.5,0.586839,1.21703,1.30349,0.665507,1.08093,0.599126
3,1,0.1,1,0.01,851.182,-833.049,-49.4794,-757.752,-773.664,-65.8586,-174.04,26.3661,10.6663,7.30817,0.490582,0.408209,1.03778,9.71179,4.73504,3.9919,15.7087,0.876245,10.7371,5.1279,6.40797,0.347191,2.61029,21.252,12.0036,2.04048,5.93717,3.43026,0.437436,0.563492,2.82683,4.25939,0.373959,0.443217,0.964562,5.18838,1.64952,0.5,0.5,0.5,1.06013,0.5,1.71588,0.5,1.61135,2,0.5,0.5,1.89109,2,0.5,0.964532,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.74214,2,0.5,1.07952,0.5
